;LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;SAMEDI;DIMANCHE
00h00;0;0;0;0;0;0;0
1h;0;0;0;0;0;0;0
2h;0;0;0;0;0;0;0
3h;0;0;0;0;0;0;0
4H;1;1;1;1;1;0;0
5H;2;2;2;2;2;1;0
6H;2;2;2;2;3;3;1
7H;2;2;2;2;3;3;3
8H;4;4;4;4;4;4;4
9H;4;4;4;4;4;5;5
10H;5;5;5;5;5;7;7
11H;6;6;6;6;6;8;8
12H;8;8;8;8;8;8;8
13H;8;8;8;8;8;9;7
14H;4;4;5;4;5;9;5
15H;4;4;5;4;5;9;6
16H;5;5;6;5;6;9;6
17H;5;5;6;5;6;9;6
18H;5;5;5;5;5;6;5
19H;5;5;5;5;5;5;5
20h;4;4;4;4;4;4;4
21h;0;0;0;0;0;0;0
22h;0;0;0;0;0;0;0
23h;0;0;0;0;0;0;0
;;;;;;;
