;LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;SAMEDI;DIMANCHE
00h00;0;0;0;0;0;0;0
01h;0;0;0;0;0;0;0
2h;0;0;0;0;0;0;0
3h;0;0;0;0;0;0;0
4H;3;3;3;3;3;0;0
5H;3;3;3;3;3;3;3
6H;4;4;4;4;4;3;3
7H;4;4;4;4;4;3;3
8H;4;4;4;4;4;3;3
9H;4;4;4;4;4;3;3
10H;4;4;4;4;4;3;3
11H;4;4;4;4;4;3;3
12H;1;1;1;1;1;1;3
13H;0;0;0;0;0;0;1
14H;0;0;0;0;0;0;0
15H;0;0;0;0;0;0;0
16H;0;0;0;0;0;0;0
17H;0;0;0;0;0;0;0
18H;0;0;0;0;0;0;0
19H;0;0;0;0;0;0;0
20h;0;0;0;0;0;0;0
21h;0;0;0;0;0;0;0
22h;0;0;0;0;0;0;0
23h;0;0;0;0;0;0;0
