;LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;SAMEDI;DIMANCHE
00h00;0;0;0;0;0;0;0
1h;0;0;0;0;0;0;0
2H;1;1;1;1;1;1;1
3H;2;2;2;2;2;2;2
4H;3;3;3;3;3;3;3
5H;3;3;3;3;3;3;3
6H;4;4;4;4;4;4;4
7H;4;4;4;4;4;4;4
8H;4;4;4;4;4;4;4
9H;4;4;4;4;4;4;4
10H;4;4;4;4;4;4;4
11H;4;4;4;4;4;4;4
12H;3;3;3;3;3;3;3
13H;3;3;3;3;3;3;3
14H;2;2;2;2;2;2;2
15H;2;2;2;2;2;2;2
16H;2;2;2;2;2;2;2
17H;2;2;2;2;2;2;2
18H;2;2;2;2;2;2;2
19H;2;2;2;2;2;2;2
20h;0;0;0;0;0;0;0
21h;0;0;0;0;0;0;0
22h;0;0;0;0;0;0;0
23h;0;0;0;0;0;0;0
